id;employee_id;start_date;end_date;salary
1;5915;2023-12-25T21:36:27;2023-12-25T14:24:05;14883
2;7287;2023-12-25T22:21:58;2023-12-26T06:37:53;13191
3;13448;2023-12-25T17:35:21;2023-12-26T07:13:02;25182
4;30323;2023-12-26T01:32:06;2023-12-26T01:36:01;29642
5;19316;2023-12-25T17:13:04;2023-12-25T14:55:23;28047
6;14139;2023-12-26T03:17:05;2023-12-26T03:55:34;32205
7;6665;2023-12-26T00:11:18;2023-12-26T04:18:56;22091
8;449;2023-12-25T23:14:33;2023-12-25T22:46:10;917
9;12802;2023-12-25T15:46:40;2023-12-25T22:07:55;27777
10;16492;2023-12-25T13:55:09;2023-12-25T18:28:38;18895
