location_id;street_address;postal_code;city;state_province
1;sunroom unless parka;by whether;Marcelinaberg;upright soupy overlooked
2;tromp whoever;opposite under pick;Chula Vista;factorize ouch jack
3;genre blindly when;bogus;Schroederton;relieved what with
4;pay whose;lovable;Noahworth;loudly
5;oof opposite;yet;Harrisbury;past gah
6;jumbo;inventory bravely exactly;Malcolmshire;adore gosh meh
7;pathogenesis;baa overcome;Paulaport;mortified
8;well-off overconfidently in;and polite;Lake Tyrique;rescue
9;uh-huh cultured avocado;near spectacular;Lake Brock;oh
10;darling;or pfft boudoir;Brantland;unacceptable
